,Nodes,Latitude,Longitude
0,49735507,38.936283,-77.072975
1,49748328,38.937335,-77.066387
2,49748340,38.938151,-77.066389
3,49748353,38.938586,-77.066455
4,49753268,38.937332,-77.068636
5,49753270,38.937332,-77.070886
6,49753272,38.937331,-77.072112
7,49753274,38.93733,-77.072418
8,49753280,38.937287,-77.073793
9,49756456,38.938602,-77.065426
10,49768086,38.93856,-77.062684
11,49774596,38.941291,-77.07076
12,49774604,38.941226,-77.072418
13,49774723,38.940573,-77.064167
14,49774762,38.940656,-77.067109
15,49780129,38.940455,-77.067653
16,49780193,38.939839,-77.07047
17,49784202,38.936288,-77.070882
18,49789979,38.9422087,-77.0688763
19,49789983,38.942216,-77.072411
20,49802368,38.937027,-77.072362
21,49802377,38.938154,-77.071426
22,49802395,38.940676,-77.070807
23,49805645,38.936289,-77.06863
24,49843926,38.939083,-77.066799
25,49843934,38.939085,-77.068636
26,49858900,38.938152,-77.068636
27,49869544,38.938155,-77.072423
28,49876232,38.938136,-77.07426
29,49884932,38.940876,-77.067852
